401;0;2022-11-14T00:00:01;flow in L/min
402;8;2022-11-14T00:00:02;flow in L/min
403;12;2022-11-14T00:00:03;flow in L/min
404;14;2022-11-14T00:00:04;flow in L/min
405;16;2022-11-14T00:00:05;flow in L/min
406;17;2022-11-14T00:00:06;flow in L/min
407;16;2022-11-14T00:00:07;flow in L/min
408;14;2022-11-14T00:00:08;flow in L/min
409;12;2022-11-14T00:00:09;flow in L/min
410;8;2022-11-14T00:00:10;flow in L/min
411;5;2022-11-14T00:00:11;flow in L/min
412;0;2022-11-14T00:00:12;flow in L/min
413;0;2022-11-14T12:00:00;flow in L/min
414;5;2022-11-14T12:00:01;flow in L/min
415;8;2022-11-14T12:00:02;flow in L/min
416;10;2022-11-14T12:00:03;flow in L/min
417;11;2022-11-14T12:00:04;flow in L/min
418;12;2022-11-14T12:00:05;flow in L/min
419;11;2022-11-14T12:00:06;flow in L/min
420;8;2022-11-14T12:00:07;flow in L/min
421;6;2022-11-14T12:00:08;flow in L/min
422;4;2022-11-14T12:00:09;flow in L/min
423;2;2022-11-14T12:00:10;flow in L/min
424;1;2022-11-14T12:00:11;flow in L/min
425;0;2022-11-14T12:00:12;flow in L/min
426;0;2022-11-15T00:00:01;flow in L/min
427;8;2022-11-15T00:00:02;flow in L/min
428;12;2022-11-15T00:00:03;flow in L/min
429;14;2022-11-15T00:00:04;flow in L/min
430;16;2022-11-15T00:00:05;flow in L/min
431;17;2022-11-15T00:00:06;flow in L/min
432;16;2022-11-15T00:00:07;flow in L/min
433;14;2022-11-15T00:00:08;flow in L/min
434;12;2022-11-15T00:00:09;flow in L/min
435;8;2022-11-15T00:00:10;flow in L/min
436;5;2022-11-15T00:00:11;flow in L/min
437;0;2022-11-15T00:00:12;flow in L/min
438;0;2022-11-15T12:00:00;flow in L/min
439;5;2022-11-15T12:00:01;flow in L/min
440;8;2022-11-15T12:00:02;flow in L/min
441;10;2022-11-15T12:00:03;flow in L/min
442;11;2022-11-15T12:00:04;flow in L/min
443;12;2022-11-15T12:00:05;flow in L/min
444;11;2022-11-15T12:00:06;flow in L/min
445;8;2022-11-15T12:00:07;flow in L/min
446;6;2022-11-15T12:00:08;flow in L/min
447;4;2022-11-15T12:00:09;flow in L/min
448;2;2022-11-15T12:00:10;flow in L/min
449;1;2022-11-15T12:00:11;flow in L/min
450;0;2022-11-15T12:00:12;flow in L/min
